time, error, delta, speed
23.40000000000007, 44, 90.80000000000002, 220
23.50000000000006, -17, -52.20000000000001, 220
23.60000000000007, -40, -48.1, 220
23.70000000000007, 23, 122.1, 220
23.80000000000007, 39, 99.80000000000002, 220
23.90000000000007, 38, 85.29999999999999, 220
24.00000000000007, 43, 102.1, 220
24.10000000000007, 12, 27.00000000000001, 220
24.20000000000007, -44, -75.2, 220
24.30000000000008, 0, 82.00000000000001, 220
24.40000000000008, 47, 150.8, 220
24.50000000000008, 46, 106.1, 220
24.60000000000008, 38, 92.5, 220
24.70000000000008, -42, -87.7, 220
24.80000000000008, -42, -11.9, 220
24.90000000000009, -42, -16.1, 220
25.00000000000009, -42, -20.3, 220
25.10000000000009, -41, -22.1, 220
25.20000000000009, -40, -24.8, 220
25.30000000000009, -40, -29.8, 220
25.40000000000009, -41, -36.20000000000001, 220
25.5000000000001, -40, -36.9, 220
25.60000000000009, -40, -41.9, 220
25.7000000000001, -40, -45.9, 220
25.8000000000001, 8, 65.3, 220
25.9000000000001, 42, 99.70000000000001, 220
26.0000000000001, 44, 74.70000000000001, 220
26.1000000000001, -32, -105.3, 220
26.2000000000001, -40, -51.70000000000001, 220
26.30000000000011, 40, 144.3, 220
26.40000000000011, 40, 68.3, 220
26.50000000000011, 37, 65.1, 220
26.60000000000011, 25, 43.0, 220
