time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, reflection, error, command
102976, 808.1119916694099, 1796.515059176178, -98.99999999999991, 804.0340132995214, 1796.711157296913, -98.99999999999983, 286.163018161835, -102.2664674450187, -486.0, 3033.718810476953, -7820.386217742859, -203.5504539943255, 11, -29, -66.3404761904762
103112, 801.931651781911, 1777.493928850275, -107.9999999999999, 798.1626904063973, 1778.641083487306, -107.9999999999998, 276.9633546751129, -120.3218236511718, -477.0, 3016.894427052461, -7811.557847429736, -207.687642180636, 79, 39, 19.90952380952381
103238, 795.7458568472251, 1759.529075913888, -108.9999999999999, 791.9768954717115, 1760.676230550919, -108.9999999999998, 270.2805091519922, -137.7312314444916, -471.0, 2999.934780505439, -7802.992195732397, -206.7965486975345, 85, 45, 30.87142857142857
103368, 790.5694759451746, 1740.210559388106, -104.9999999999999, 786.8005145696611, 1741.357714025137, -104.9999999999998, 261.427694407071, -155.1058586661648, -477.0, 2981.882790927914, -7794.382569010354, -205.4981108162508, 46, 6, -15.86428571428572
103490, 785.9107331333294, 1722.823894514903, -104.9999999999999, 782.1417717578158, 1723.971049151934, -104.9999999999998, 252.094694407071, -171.2710888532051, -480.0, 2965.747229578031, -7786.404871352248, -206.3085794518658, 72, 32, 19.30952380952381
103619, 781.3142171169357, 1704.388275715659, -103.9999999999999, 777.5452557414223, 1705.53543035269, -103.9999999999998, 242.8387091373279, -187.9693283019105, -479.0, 2948.570877183238, -7778.282499875276, -205.3085794518658, 72, 32, 22.2
103741, 777.8796552001579, 1686.718986413601, -100.9999999999999, 773.919884829268, 1686.884513867184, -100.9999999999998, 232.6054790038133, -203.1407158796677, -484.0, 2931.277466413917, -7770.412433550047, -204.4698291468389, 75, 35, 29.33571428571428
103860, 775.3745393828767, 1668.894161176253, -97.9999999999999, 771.553942112947, 1670.049956698578, -97.99999999999981, 221.9346968283043, -217.3013221083163, -487.0000000000001, 2915.639426292632, -7763.745222651547, -203.0907664180688, 41, 1, -11.80476190476191
103980, 772.8694235655955, 1651.069335938905, -97.9999999999999, 769.0488262956659, 1652.22513146123, -97.99999999999981, 210.5959233934337, -230.814346084935, -490.0, 2899.183012298616, -7756.452319357415, -203.9012350536837, 12, -28, -49.3452380952381
104102, 768.820304587406, 1633.53067477277, -102.9999999999999, 764.7747562631325, 1633.71210023031, -102.9999999999998, 199.9111630772611, -245.5206570086828, -486.0, 2882.174797561648, -7747.98351593183, -206.4698291468389, 28, -12, -30.80952380952381
