time, dt, v_left_deg_s, v_right_deg_s, v_left_mm_s, v_right_mm_s, v_real_mm_s, w_real_rad_s, reflection, error, command, drive_speed, turn_rate, distance_total, delta_d, x_odo, y_odo, theta_odo_deg, x_gyro, y_gyro, theta_gyro_deg, x_model, y_model, theta_model_deg, x_kalman, y_kalman, theta_kalman_deg, v_odo, v_gyro, v_model
27.88, 0.07900000000000063, 188, 171, 72.18681786248546, 65.65928646002667, 68.92305216125607, 0.05439609502048993, 44, 4, 6.779070253164591, 70, 6.779070253164591, 1936, 5.444921120739273, -670.9077796467677, -457.232501228976, 189.2953333333334, 846.5382559871355, 124.1413470890148, 425, -670.9077796467676, -457.2325012289768, 189.2953333333334, -443.2908743016823, -370.0264239812773, 224.6510333333334, 68.92305216125607, 68.92305216125607, 68.92305216125607
27.96, 0.07599999999999696, 206, 163, 79.09832170038301, 62.58750697651665, 70.84291433844983, 0.1375901226988864, 39, -1, 3.509105263157728, 70, 3.509105263157728, 1942, 5.384061489721971, -676.2117582052849, -456.3073366080046, 189.8944666666667, 848.7281510835787, 119.2227621714109, 426, -676.2117582052849, -456.3073366080054, 189.8944666666667, -447.4707718119554, -369.9778217910924, 225.3102966666667, 70.84291433844983, 70.84291433844983, 70.84291433844983
28.04, 0.08400000000000318, 184, 186, 70.65092812073046, 71.41887299160796, 71.03490055616921, -0.006399540590645833, 28, -12, -2.737876190476015, 70, -2.737876190476015, 1948, 5.966931646718439, -682.0904875906486, -455.2851751284567, 189.8636666666667, 851.0596170195194, 113.7301726303876, 427, -682.0904875906485, -455.2851751284575, 189.8636666666667, -452.1179718991234, -369.93287296463, 225.4341166666667, 71.03490055616921, 71.03490055616921, 71.03490055616921
28.12, 0.08099999999999952, 168, 177, 64.50736915371042, 67.96312107265918, 66.23524511318479, -0.02879793265790636, 25, -15, -4.713368518518545, 70, -4.713368518518545, 1954, 5.365054854167936, -687.3783664739967, -454.3784499753519, 189.7300166666667, 853.1559109570953, 108.7916135980874, 427, -687.3783664739965, -454.3784499753527, 189.7300166666667, -456.2982248593328, -369.902940439336, 225.3205141666667, 66.23524511318479, 66.23524511318479, 66.23524511318479
28.2, 0.07900000000000063, 167, 199, 64.12339671827167, 76.41051465231174, 70.2669556852917, -0.1023926494503339, 29, -11, -2.419283544303764, 70, -2.419283544303764, 1959, 5.551089499138087, -692.85701366995, -453.4845710519437, 189.26655, 855.3248944214385, 103.6818087721819, 427, -692.8570136699499, -453.4845710519445, 189.26655, -460.6297274562418, -369.9096140783249, 224.9265675, 70.2669556852917, 70.2669556852917, 70.2669556852917
28.31, 0.1109999999999971, 183, 196, 70.26695568529171, 75.25859734599549, 72.7627765156436, -0.04159701383919814, 41, 1, 6.498204054053903, 70, 6.498204054053903, 1967, 8.076668193236229, -700.8342005670076, -452.2208233267047, 189.0020000000001, 858.4807000990152, 96.24719650058305, 427, -700.8342005670074, -452.2208233267055, 189.002, -466.9369654671042, -369.9506203526115, 224.7017, 72.7627765156436, 72.7627765156436, 72.7627765156436
28.4, 0.08900000000000219, 199, 155, 76.41051465231174, 59.51572749300663, 67.96312107265918, 0.1407898929942092, 45, 5, 7.730571910112475, 70, 7.730571910112475, 1973, 6.048717775466815, -706.7960877382243, -451.1996044055476, 189.7199333333334, 860.7465896594169, 90.63892303833908, 428, -706.7960877382242, -451.1996044055484, 189.7199333333334, -471.6646861285781, -369.9238252889645, 225.4619433333334, 67.96312107265918, 67.96312107265918, 67.96312107265918
28.48, 0.08099999999999952, 198, 175, 76.02654221687299, 67.19517620178168, 71.61085920932734, 0.07359471679242755, 30, -10, -1.848192592592618, 70, -1.848192592592618, 1979, 5.800479595955479, -712.5073608681276, -450.1862324211607, 190.0614833333334, 862.8252956385989, 85.22370882325864, 429, -712.5073608681276, -450.1862324211615, 190.0614833333334, -476.2074623921187, -369.8747412344979, 225.9022608333334, 71.61085920932734, 71.61085920932734, 71.61085920932734
28.55, 0.07399999999999807, 185, 187, 71.03490055616921, 71.80284542704671, 71.41887299160796, -0.006399540590645833, 23, -17, -6.432597297297397, 70, -6.432597297297397, 1984, 5.28499660137885, -717.7115153624355, -449.2653822292391, 190.03435, 864.6328709336782, 80.25743651606431, 430, -717.7115153624353, -449.2653822292399, 190.03435, -480.3598574180184, -369.8369594174436, 226.0291975, 71.41887299160796, 71.41887299160796, 71.41887299160796
28.63, 0.07700000000000173, 157, 201, 60.28367236388414, 77.17845952318925, 68.73106594353669, -0.1407898929942093, 23, -17, -6.296099999999911, 70, -6.296099999999911, 1989, 5.292292077652444, -722.9325438707431, -448.39980915282, 189.4132166666667, 866.3558726982476, 75.25347604914683, 431, -722.932543870743, -448.3998091528208, 189.4132166666667, -484.5392813853945, -369.8518163725249, 225.6512341666667, 68.73106594353669, 68.73106594353669, 68.73106594353669
28.73, 0.0990000000000002, 171, 203, 65.65928646002667, 77.94640439406675, 71.80284542704671, -0.102392649450334, 35, -5, 2.055156060606071, 70, 2.055156060606071, 1996, 7.108481697277638, -729.9567308272692, -447.3083378337735, 188.8324166666667, 868.7871166271785, 68.57368825322334, 430, -729.956730827269, -447.3083378337743, 188.8324166666667, -490.145153709102, -369.926033920724, 225.0075541666667, 71.80284542704671, 71.80284542704671, 71.80284542704671
28.81, 0.07900000000000063, 188, 173, 72.18681786248546, 66.42723133090418, 69.30702459669482, 0.04799655442984397, 42, 2, 5.237753797468386, 70, 5.237753797468386, 2001, 5.475254943138934, -735.363831794254, -446.4471318043017, 189.0496666666667, 870.6597641075755, 63.42863158623412, 430, -735.3638317942539, -446.4471318043025, 189.0496666666667, -494.4602924089796, -369.9657672957213, 225.1922166666667, 69.30702459669482, 69.30702459669482, 69.30702459669482
28.9, 0.08999999999999986, 197, 167, 75.64256978143423, 64.12339671827167, 69.88298324985294, 0.09599310885968809, 33, -7, 0.2679999999999924, 70, 0.2679999999999924, 2008, 6.289468492486755, -741.5662328722427, -445.4042345007537, 189.5446666666667, 872.7074147571907, 57.48182229594126, 431, -741.5662328722426, -445.4042345007545, 189.5446666666667, -499.4251857278278, -369.9713259812495, 225.7629666666667, 69.88298324985294, 69.88298324985294, 69.88298324985294
28.98, 0.07499999999999929, 182, 193, 69.88298324985294, 74.10668003967922, 71.99483164476608, -0.03519747324855231, 27, -13, -4.123750000000035, 70, -4.123750000000035, 2014, 5.399612373357405, -746.8934414187959, -444.5229497090743, 189.3934166666667, 874.3759867435953, 52.34648576279176, 432, -746.8934414187958, -444.5229497090751, 189.3934166666667, -503.7030271944372, -369.9925343882944, 225.7844041666667, 71.99483164476608, 71.99483164476608, 71.99483164476608
29.05, 0.07600000000000051, 172, 183, 66.04325889546543, 70.26695568529171, 68.15510729037857, -0.03519747324855231, 28, -12, -3.473221052631553, 70, -3.473221052631553, 2018, 5.179788154068806, -752.0060165693744, -443.6912161876157, 189.24015, 875.9766293104647, 47.42021448583618, 432, -752.0060165693743, -443.6912161876164, 189.24015, -507.8086196873985, -370.0245015865979, 225.6541275, 68.15510729037857, 68.15510729037857, 68.15510729037857
29.13, 0.07999999999999829, 181, 194, 69.49901081441419, 74.49065247511797, 71.99483164476608, -0.04159701383919814, 35, -5, 0.9397499999999182, 70, 0.9397499999999182, 2024, 5.759586531581164, -757.6939127676477, -442.7853056774439, 189.0494833333334, 877.6605694432012, 41.91229449330446, 433, -757.6939127676476, -442.7853056774447, 189.0494833333334, -512.3907404360205, -370.0806656518316, 225.6420608333333, 71.99483164476608, 71.99483164476608, 71.99483164476608
29.2, 0.07400000000000162, 178, 189, 68.34709350809795, 72.57079029792422, 70.45894190301109, -0.03519747324855231, 45, 5, 6.689867567567645, 70, 6.689867567567645, 2029, 5.213961700822934, -762.8450941499782, -441.9786291722824, 188.90025, 879.1849843140298, 36.92615812139838, 433, -762.8450941499781, -441.9786291722832, 188.90025, -516.5405823803771, -370.1429110782303, 225.5152125, 70.45894190301109, 70.45894190301109, 70.45894190301109
29.3, 0.09799999999999898, 194, 151, 74.49065247511797, 57.97983775125163, 66.23524511318479, 0.1375901226988862, 46, 6, 8.431602040816276, 70, 8.431602040816276, 2036, 6.491054021092041, -769.2438667775713, -440.8879912098493, 189.6728166666667, 881.082784843624, 30.71873228981507, 433, -769.2438667775712, -440.88799120985, 189.6728166666667, -521.694869034392, -370.1469826848996, 226.1718941666667, 66.23524511318479, 66.23524511318479, 66.23524511318479
29.38, 0.0779999999999994, 204, 168, 78.3303768295055, 64.50736915371042, 71.41887299160796, 0.1151917306316257, 35, -5, 0.7514871794871497, 70, 0.7514871794871497, 2042, 5.570672093345378, -774.7267108653071, -439.9026951725302, 190.1876166666667, 882.6182701695572, 25.36385858584963, 434, -774.726710865307, -439.902695172531, 190.1876166666667, -526.1249637100775, -370.1127121087732, 226.7594741666667, 71.41887299160796, 71.41887299160796, 71.41887299160796
29.46, 0.08099999999999952, 183, 181, 70.26695568529171, 69.49901081441419, 69.88298324985294, 0.00639954059064595, 23, -17, -6.373924074074097, 70, -6.373924074074097, 2047, 5.660521643238054, -780.2974681951667, -438.8986194555733, 190.2173166666667, 884.0833209760422, 19.89621454037776, 435, -780.2974681951667, -438.8986194555741, 190.2173166666667, -530.6403498194855, -370.0793943561807, 226.9347191666667, 69.88298324985294, 69.88298324985294, 69.88298324985294
29.54, 0.07800000000000296, 159, 198, 61.05161723476165, 76.02654221687299, 68.53907972581732, -0.1247910415175945, 23, -17, -6.510599999999859, 70, -6.510599999999859, 2053, 5.346048218613953, -785.5677200314008, -438.001581475097, 189.6596166666667, 885.3766470950564, 14.70896680139123, 436, -785.5677200314006, -438.0015814750978, 189.6596166666667, -534.9260649624322, -370.0949992336238, 226.6106741666666, 68.53907972581732, 68.53907972581732, 68.53907972581732
29.63, 0.09099999999999753, 172, 206, 66.04325889546543, 79.09832170038301, 72.57079029792422, -0.1087921900409799, 34, -6, 0.7374395604394462, 70, 0.7374395604394462, 2060, 6.603941917110925, -792.0886822488503, -436.9579816460575, 189.0923833333334, 887.0858730359556, 8.330048748340849, 435, -792.0886822488501, -436.9579816460583, 189.0923833333334, -540.2124989561294, -370.1647770868977, 225.9785258333334, 72.57079029792422, 72.57079029792422, 72.57079029792422
29.73, 0.1000000000000014, 190, 182, 72.95476273336297, 69.88298324985294, 71.41887299160796, 0.02559816236258357, 44, 4, 7.170000000000066, 70, 7.170000000000066, 2066, 7.141887299160897, -799.1379183341423, -435.8113235419431, 189.23905, 888.8136519495278, 1.400306024420211, 436, -799.1379183341422, -435.8113235419439, 189.23905, -545.9451827915919, -370.2295791069886, 226.2531925, 71.41887299160796, 71.41887299160796, 71.41887299160796
